,type,dressing
0,Angus,0.641084388913636
1,Hereford,0.757293
2,Gelbvieh,0.7858967124527643
3,Limousin,0.7692901215436881
4,Simmental,0.6020595532711088
5,Guernsey,0.6041682527458586
6,Dexter,0.6892622843591185
7,Shorthorn,0.6429117859687263
8,Salers,0.6778091386640307
9,Brahman,0.7408509043147731
10,Charolais,0.7768838359677416
11,Swiss,0.7825198859492253
12,Galloway,0.796353514131736
13,Sussex,0.7054805303846544
14,Devon,0.7324205850030825
15,Lowline,0.7031636312912085
16,Jersey,0.7516688177751212
17,Ayrshire,0.6312249204066466
18,Brangus,0.6198432883984313
19,Longhorn,0.6357355115405567
20,Belgian,0.7448693544219072
